iteration,max_delta
1,10.0
2,7.182
3,5.809320000000002
4,4.639356000000002
5,3.7513173600000016
6,3.2249341036800017
7,2.8309340773440015
8,2.432204093661492
9,2.0535789470985626
10,1.206526119010157
11,1.0326851984769132
12,0.8144099418544108
13,0.6731623055175122
14,0.5822118012397939
15,0.5038330350998843
16,0.40888583465798833
17,0.3237565225877933
18,0.2673030586880318
19,0.16297209601629126
20,0.13639328684987934
21,0.0752659897863665
22,0.06027300383672468
23,0.03716394446683591
24,0.02427152724293813
25,0.01767715939680048
26,0.009212878846864891
27,0.007440035382786037
28,0.0033307364585370425
29,0.00285378258484581
30,0.0011597138189681777
31,0.0010261750843770234
32,0.00039682801417162405
33,0.00035237811373101113
34,0.00013189947386138545
35,0.00011694416117180584
36,4.398264198435253e-05
